pdf_stem,pdf_path,page,grid_w,grid_h,method,correct,note,grid_png
03735274_R E KING 1_1030631,D:\ExportedFolderContents (1)\1911\09 - September\03735274_R E KING 1_1030631.pdf,,302,305,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\03735274_R E KING 1_1030631_grid.png
11702108_GEO BRENTNALL 2_1030670,D:\ExportedFolderContents (1)\1911\12 - December\11702108_GEO BRENTNALL 2_1030670.pdf,,288,283,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11702108_GEO BRENTNALL 2_1030670_grid.png
14700927_SCOTT YEARGIAN 1_512188,D:\ExportedFolderContents (1)\1911\05 - May\14700927_SCOTT YEARGIAN 1_512188.pdf,,305,293,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14700927_SCOTT YEARGIAN 1_512188_grid.png
X_A BRUMMET 3_1030533,D:\ExportedFolderContents (1)\1911\01 - January\X_A BRUMMET 3_1030533.pdf,,298,300,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_A BRUMMET 3_1030533_grid.png
X_WM OWEN NORTH 4_2356017,D:\ExportedFolderContents (1)\1911\03 - March\X_WM OWEN NORTH 4_2356017.pdf,,288,303,otsu,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_WM OWEN NORTH 4_2356017_grid.png
35105027670000_COLIER 9_2455934,D:\ExportedFolderContents (1)\1911\12 - December\35105027670000_COLIER 9_2455934.pdf,,300,299,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35105027670000_COLIER 9_2455934_grid.png
07900223_MARY FOLSOM 1_1017353,D:\ExportedFolderContents (1)\1911\05 - May\07900223_MARY FOLSOM 1_1017353.pdf,,304,306,canny,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\07900223_MARY FOLSOM 1_1017353_grid.png
14302236_SARAH SANGO 1_512198,D:\ExportedFolderContents (1)\1911\06 - June\14302236_SARAH SANGO 1_512198.pdf,,306,311,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14302236_SARAH SANGO 1_512198_grid.png
14701740_ELLA WILLIAMS 4_1401235,D:\ExportedFolderContents (1)\1911\04 - April\14701740_ELLA WILLIAMS 4_1401235.pdf,,302,305,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14701740_ELLA WILLIAMS 4_1401235_grid.png
x_FEE 2-5_512158,D:\ExportedFolderContents (1)\1911\01 - January\x_FEE 2-5_512158.pdf,,322,320,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_FEE 2-5_512158_grid.png
